cidade,latitude,longitude
CURRAIS NOVOS,-6.2626676,-36.5173039
JOÃO PESSOA,-7.1215981,-34.882028
SÃO GABRIEL,-30.334214,-54.3227149
ITAQUIRAÍ,-23.4801914,-54.1833692
PARANATINGA,-14.4297856,-54.0503432
SANTA ISABEL DO RIO NEGRO,-0.25278445,-64.98578996363636
ARACATI,-4.558259,-37.767894
ITACOATIARA,-3.1477898,-58.4461041
BARRA DE SÃO FRANCISCO,-18.7570902,-40.8916119
ITAJAÍ,-26.9046787,-48.6552979
CORRENTINA,-13.344157,-44.6345066
DOURADOS,-22.2206145,-54.812208
BOITUVA,-23.2838893,-47.6738231
GOIANDIRA,-18.1355157,-48.087163
BRASILÂNDIA DE MINAS,-17.0096409,-46.0087622
JI-PARANÁ,-10.8778148,-61.9277854
CARUARU,-8.2829702,-35.9722852
MACEIÓ,-9.6476843,-35.7339264
CURVELO,-18.7571926,-44.4305993
CRUZEIRO DO SUL,-29.5139742,-51.9917068
ALTO PARAÍSO DE GOIÁS,-14.1304779,-47.5100161
GARUVA,-26.0294904,-48.8545202
ALTO PIQUIRI,-24.0239021,-53.4417448
TAMARANA,-23.7223793,-51.0936013
ARIPUANÃ,-10.175806,-59.4439663
OURO PRETO,-20.385527,-43.5035214
BANDEIRANTES,-23.107788,-50.370407
CABECEIRAS,-15.7995459,-46.9264991
MARAÚ,-14.103022,-39.0144322
PIÇARRA,-6.4475822,-48.8633795
IBOTIRAMA,-12.1829519,-43.2181138
XINGUARA,-7.0998514,-49.9416632
PARANAVAÍ,-23.08165,-52.461724
ESPIGÃO D'OESTE,-11.532175,-61.0130935
CARAUARI,-4.8766426,-66.8961433
TANGARÁ DA SERRA,-14.6213903,-57.4907268
ARARUAMA,-22.7446908,-42.32312924204672
GUARANI D'OESTE,-20.0737613,-50.3379634
RANCHARIA,-22.2294981,-50.8922333
NOVA CRIXÁS,-14.0968848,-50.3396014
IPIRANGA DO NORTE,-12.2408004,-56.1531011
PIRENÓPOLIS,-15.8501619,-48.957317
SANTA LUZIA,-19.7702097,-43.8505291
BALSAS,-7.53214,-46.037163
SÃO ROMÃO,-16.3687716,-45.0678597
FELIZ NATAL,-12.3802463,-54.9389793
PORTO BELO,-27.1542415,-48.5424395
POMPÉU,-19.218611,-45.002778
GUAÍRA,-24.0851924,-54.2567519
PRESIDENTE FIGUEIREDO,-2.0486359,-60.0236658
PRESIDENTE CASTELO BRANCO,-23.2790844,-52.1528771
SANTA CRUZ DO XINGU,-10.1533447,-52.392016
BEBEDOURO,-20.949077,-48.479083
ANGRA DOS REIS,-23.155540549999998,-44.23448088153183
RIO BRILHANTE,-21.8046467,-54.5433047
ELDORADO,-24.522583,-48.1093489
MOSSORÓ,-5.1904332,-37.3443872
VIANA,-3.2099341,-45.0002456
DRACENA,-21.4835523,-51.5334408
CAPÃO DA CANOA,-29.7508278,-50.0210729
SANTA JULIANA,-5.6660072,-47.8448821
ULIANÓPOLIS,-3.7575266,-47.5009377
ARIQUEMES,-9.9076522,-63.033069
SÃO ROQUE,-23.5304843,-47.1355473
CHAPADÃO DO SUL,-18.7949051,-52.6199512
SÃO PEDRO,-22.5512765,-47.9072359
CAJAMAR,-23.3561111,-46.8769444
LUIZ ALVES,-26.7118577,-48.9126756
SÃO SIMÃO,-21.4800208,-47.5531095
MARÍLIA,-22.2172002,-49.9500061
MAÇAMBARÁ,-29.144485,-56.067444
BOCA DO ACRE,-8.7553487,-67.3930873
CORUMBATAÍ,-22.2210521,-47.6249638
LUÍS EDUARDO MAGALHÃES,-12.0869117,-45.7834163
PALESTINA,-20.389344,-49.4320384
DIVINÓPOLIS,-20.1597921,-44.8739341
UCHOA,-20.951106,-49.171295
CAFELÂNDIA,-21.8054355,-49.6030627
BAGÉ,-31.3314264,-54.1062808
URUÇUÍ,-7.2363099,-44.555387
BANNACH,-7.3508505,-50.4064531
CHAPADA GAÚCHA,-15.2946253,-45.6284904
JATAÍ,-17.8783829,-51.7204241
NOVO HAMBURGO,-29.6905705,-51.1429035
SANTA RITA,-7.128465,-34.9846186
MARACAÍ,-22.6112679,-50.6670685
FORMOSO DO ARAGUAIA,-11.8059989,-49.5257153
JACAREACANGA,-6.2196518,-57.758625
CHUPINGUAIA,-12.5528918,-60.9027819
ARAL MOREIRA,-22.951141,-55.6268421
CARACOL,-9.2804898,-43.3284924
SANTOS,-23.9335988,-46.3286399
SANTA ROSA,-27.8643546,-54.4779287
ANAURILÂNDIA,-22.185169,-52.719056
LAGOA DA CONFUSÃO,-10.7883045,-49.6224431
VERÍSSIMO,-19.6680818,-48.308771
SANTO ANTÔNIO DO AMPARO,-20.9413389,-44.9187397
FLORES DA CUNHA,-29.030129,-51.1833349
LAVRAS,-21.2425512,-44.9991978
ARAXÁ,-19.6009149,-46.940923
JOÃO PINHEIRO,-17.742777,-46.175278
FRANCISCO BELTRÃO,-26.0790979,-53.0533527
CAROEBE,0.8808696,-59.6963796
ÁGUA BOA,-17.9956411,-42.3899261
CARACARAÍ,1.827598,-61.125389
GETÚLIO VARGAS,-27.8871493,-52.2257967
PIEDADE DE CARATINGA,-19.7601211,-42.0767321
PAU D'ARCO,-7.8331153,-50.0404438
SÃO JOSÉ DE MIPIBU,-6.0746867,-35.2370184
BLUMENAU,-26.9195567,-49.0658025
ALTAIR,-20.5238955,-49.0606135
DOIS VIZINHOS,-25.7464681,-53.0554369
SANTA FÉ DO SUL,-23.039993,-51.808014
SOBRAL,-3.6879135,-40.3456372
GOUVELÂNDIA,-18.4425949,-50.1365172
COCALINHO,-14.390339,-51.00015
PRESIDENTE PRUDENTE,-22.1225167,-51.3882528
ITIRAPINA,-22.2536514,-47.8212546
TOMÉ-AÇU,-2.4166306,-48.1522907
SÃO SEBASTIÃO DO OESTE,-15.9033774,-47.7717736
PARINTINS,-2.6344567,-56.7319324
MARIANA,-20.3781468,-43.4174862
CURITIBANOS,-27.2900659,-50.5779683
ARAQUARI,-26.3703324,-48.7210994
PORECATU,-22.753724,-51.37949
DOM AQUINO,-15.809899,-54.922298
